Ticket,Date,Location,Company Complaining About,Description
# 3795378 - Super Bowl Half Time Show,2/3/2020 5:09:35 AM,"Austin, Texas 78759",AT&T,"NOT kid friendly. Disgusting show. No more shows like this at halftime. It's not good for our kids and helps enable sex slavery around the world. If guys want to go to a strip show, there are places for that and it's not national TV prime time. Please reference the screen shot I sent be low."
# 3795381 - DISGUSTING HALF TIME SHOW,2/3/2020 5:11:56 AM,"Fort Smith, Arkansas 72901",,"I had to send my kids OUT OF THE ROOM because of the outrageous, offensive, sexually explicit outfits, pole dancing, and sexual performance of the Super Bowl Halftime by JLo and Shakira. This is WAY beyond what should be"
# 3795383 - Super Bowl half time shoe,2/3/2020 5:22:31 AM,"Lexington, Kentucky 40511",Fox,Must we be subjected to pole dancers mostly naked during the super bowl? Had to send children out of the room . Fox needs to be fined! Thus is not appropriate family entertainment as the super bowl advertises. It was appalling! And then having young girls join the spectacle. No wonder there is sex e Me Too women? Do you not see the hypocrisy?
# 3795388 - Super bowl 1/2 show,2/3/2020 5:50:58 AM,"Springfield, Virginia 22151",,"The super bowl halftime show was terrible. There was no decency to the entire show. Both main performers felt the need to lower the degradation of women to crotch shots, pelvic thrust s including o the nasty pole dancing that only good for dark and dingy bars in the Bronx where Lopez came from. If she likes that kind of stuff she should keep to her bedroom and leave the rest of us out of it. Women are more than sexual objects and I am trying to raise my girls to be proud of who they are. I To the creators of the show... I will be sure to turn off the game at that time next year. The sh ow should have come with a warning label and show rating so Parents knew they should have turned it required."
# 3795390 - Super Bowl Halftime Shoe,2/3/2020 5:52:00 AM,"Madison, Mississippi 39110",,"The halftime show last night was beyond inappropriate. Shakira laying on her side gyrating like sex, Lopez on a stripper pole, Lopez bending over to expose her butt crack, both performers grabbing their vaginas, Shakira grinding her butt against some tinf offensive. My children were watching."
# 3795393 - NFL halftime decency,2/3/2020 5:53:00 AM,"New Al bany, Indiana 47150",,Please investigate the NFL halftime show for decency violations during broadcast times when children could be watching. The camera angles and zoom s on body parts was not appropriate and the network and the NFL (which had claimed to be more family friendly) should be fined for broadcasting it.
# 3795399 - Super B owl LIV Half - Time Show,2/3/2020 6:10:31 AM,"Fort Wayne, Indiana 46825",,"Completely inappropriate half time - show with simulated orgies, stripping, a nd borderline pornography. This is a family event during prime time and should never have happened."
# 3795400 - Explicit Super Bowl halftime show,2/3/2020 6:10:4 8 AM,"Hickory, North Carolina 28601",,"Jennifer Lopez humping the stage, I was appalled! This does not meet the standards for public broadcast during family viewing hours. Their talent should be on display not sexually expli cit images that victimize young children."
# 3795403 - 2020 Superbowl Halftime Show,2/3/2020 6:17:17 AM,"Portland, Oregon 97221",,"I want to file a complaint that this years Halftime Show was offensive, indecent and should be reviewed for fines. My children were watching w ith us and I couldn't even explain to them why there was pole dancing, half naked women, and gyrating pelvic thrusting."
# 3795413 - Super Bowl Halftime Show,2/3/ 2020 6:50:23 AM,"San Antonio, Texas 78261",,The Super Bowl halftime show was like watching a strip show. This was offensive and embarrassing to have kids in the room. What happened to family friendly performances?
# 3795416 - 2020 Super Bowl Halftime Show,2/3/2020 6:52:02 AM,"Raleigh, North Carolin a 27614",,Degrading women with a half time performance that was filled with sexual actions equivalent to abuse knowing this was intended for an audience with families a nd children. The team/person responsible should be replaced and higher standards required for a televised show that attracts as high of a family event as this in the United States of America.
# 3795417 - superbowl halftime,2/3/2020 6:52:26 AM,"Tonto Basin, Arizona 85553",,"Jlo put on an indecent show, inappropriate for daytime tv."
# 3795424 - Superbowl 1/2 - Time Show,2/3/2020 7:18:43 AM,"Hazel Cres t, Illinois 60429",Fox,That was a disgusting display allowed of something that our children can't un see!!! Strip clubs have that crap with sluts performing like this! This is soft porn! Fine the NFL or stop the HALFTIME shows! Beyond INAPPROPRIATE!!! Honoring a dog killer now THIS! BOYCOTTING THE NFL!!!
# 3795425 - NFL half time show,2/3/2020 7:19:12 AM,"Tampa, Florida 33611",,The nfl half time show echoed a burlesque show with one difference the d ifference was that J Lo and them to take off. Grotesque.
# 3795426 - Super Bowl 2020 Half Time Show,2/3/2020 7:19:27 AM,"Alpine, Utah 84004",,"I am complaining about the Super Bowl 2020 Half Time Show. In a word, it was DISGUSTING. J Lo and Shakira could have done that show wearing more clothes. There were times were it was completely inappropriate for children, especiall y, and it came close to pornography. We teach our then in the biggest show of the year on daytime television, the Super Bowl Half time Show has dancers wearing very little clothing. You could see that their butt cheeks were in full view and their crotch areas did not leave anything to the imagination. It was vulgar. Please make these half time shows more family friendly, and less like a Vegas strip show. Really. PLEASE EMAIL. DO NOT CALL"
# 3795441 - NFL SuperBowl half time show,2/3/2020 7:40:39 AM,"St Augustine, Florida 32092",AT& T,Super Bowl half time show was too sexualized. Costumes too revealing and the gyrating dancing was also too sexualized for children. I know my grandchildren were wat ching and I am discussed that they are growing up to believe this is how women can dress and dance. Also the children in cages was over the top. When a crisis is happening you do what you can to solve the problem in a temporary problem. The children at o ur border were safe and that is the most important thing. Unlike their parents (or supposed parents) who brought them the many miles from their home to be able to be let free in the US never to show up for their court hearing. We the American people are t ired of being preached to by this mostly uneducated and ill informed Hollywood crowd. Get it together NFL!!!
# 3795443 - Super Bowl Halftime Show,2/3/2020 7:41 :02 AM,"West Chester, Ohio 45069",,Obscene performance.
